date,ticker,price
2024-01-01,AAPL,150.46828263850324
2024-01-02,AAPL,149.8038368041205
2024-01-03,AAPL,150.8761335036567
2024-01-04,AAPL,151.27066351831672
2024-01-05,AAPL,151.42741648941484
2024-01-06,AAPL,151.43849721851714
2024-01-07,AAPL,150.75674484799092
2024-01-08,AAPL,152.22999131323638
2024-01-09,AAPL,152.76770902230948
2024-01-10,AAPL,151.8232576993969
2024-01-11,AAPL,150.8786102867531
2024-01-12,AAPL,152.868749396859
2024-01-13,AAPL,151.46691732286655
2024-01-14,AAPL,149.63514567872687
2024-01-15,AAPL,149.83225989178587
2024-01-16,AAPL,149.6611364467798
2024-01-17,AAPL,149.60226636285074
2024-01-18,AAPL,149.90133539962048
2024-01-19,AAPL,152.18507262880053
2024-01-20,AAPL,151.53994993678373
